"Status of existing checking account","Credit history","Savings account/bonds","Present employment since","Installment rate in percentage of disposable income","Personal status and sex","Other debtors / guarantors","Present residence since","Property","Age in years","Other installment plans","Housing","Number of existing credits at this bank","Job","Number of people being liable to provide maintenance for","Telephone","Foreign worker","Score","ClientID"
"Negative","existing credits paid back duly till now","more than 1000","less than 1 year",4,"female (divorced/separated/married)","none",2,"car or other",29,"bank","own",1,"skilled employee / official",1,"none","Yes","good",18159
"Negative","all credits at this bank paid back duly","less than 100","1 to 4 years",1,"female (divorced/separated/married)","guarantor",4,"car or other",22,"bank","rent",1,"skilled employee / official",1,"none","No","good",18172
"No checking account","delay in paying off in the past","less than 100","4 to 7 years",4,"female (divorced/separated/married)","none",1,"real estate",22,"none","own",1,"skilled employee / official",1,"none","Yes","bad",18185
"0 - 200","no credits taken / all credits paid back duly","unknown / no savings account","1 to 4 years",2,"male (single)","none",2,"car or other",48,"bank","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",18198
"0 - 200","delay in paying off in the past","unknown / no savings account","1 to 4 years",2,"male (single)","none",2,"unknown / no property",27,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"none","Yes","good",18211
"Negative","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",1,"male (single)","none",3,"real estate",37,"none","rent",3,"skilled employee / official",2,"none","Yes","good",18224
"0 - 200","existing credits paid back duly till now","100 to 500","1 to 4 years",2,"female (divorced/separated/married)","co-Applicant",4,"car or other",21,"none","rent",1,"skilled employee / official",1,"none","Yes","bad",18237
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",4,"male (divorced/separated)","none",2,"real estate",49,"none","own",1,"unskilled - resident",1,"none","Yes","good",18250
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","4 to 7 years",2,"male (single)","none",3,"building society savings agreement/ life insurance",27,"none","own",2,"skilled employee / official",1,"none","Yes","good",18263
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",3,"male (single)","none",2,"building society savings agreement/ life insurance",32,"bank","own",2,"skilled employee / official",1,"none","Yes","bad",18276
"No checking account","existing credits paid back duly till now","unknown / no savings account","1 to 4 years",4,"male (divorced/separated)","none",2,"real estate",38,"bank","own",1,"skilled employee / official",1,"none","Yes","bad",18289
"Negative","existing credits paid back duly till now","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",1,"car or other",22,"none","rent",1,"skilled employee / official",1,"none","Yes","good",18302
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",4,"male (single)","none",4,"unknown / no property",65,"none","for free",2,"skilled employee / official",1,"none","Yes","bad",18315
"No checking account","existing credits paid back duly till now","unknown / no savings account","more than 7 years",4,"male (single)","none",2,"car or other",35,"none","own",1,"skilled employee / official",1,"none","Yes","good",18328
"Over 200","existing credits paid back duly till now","less than 100","1 to 4 years",2,"male (single)","none",2,"real estate",41,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",18341
"0 - 200","all credits at this bank paid back duly","100 to 500","4 to 7 years",2,"male (single)","none",3,"unknown / no property",29,"none","own",1,"skilled employee / official",1,"none","Yes","bad",18354
"No checking account","critical account/ other credits existing (not at this bank)","500 to 1000","1 to 4 years",4,"male (single)","none",4,"real estate",36,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",18367
"No checking account","existing credits paid back duly till now","unknown / no savings account","more than 7 years",1,"male (single)","none",4,"real estate",64,"none","own",1,"unskilled - resident",1,"none","Yes","good",18380
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",4,"car or other",28,"none","own",1,"skilled employee / official",1,"none","Yes","good",18393
"Negative","all credits at this bank paid back duly","less than 100","1 to 4 years",4,"male (single)","none",3,"car or other",44,"bank","own",1,"skilled employee / official",1,"none","Yes","bad",18406
"0 - 200","existing credits paid back duly till now","unknown / no savings account","less than 1 year",4,"male (single)","none",1,"building society savings agreement/ life insurance",23,"none","own",1,"skilled employee / official",1,"none","Yes","good",18419
"No checking account","existing credits paid back duly till now","less than 100","less than 1 year",2,"female (divorced/separated/married)","co-Applicant",2,"car or other",19,"none","rent",2,"skilled employee / official",1,"none","Yes","bad",18432
"0 - 200","existing credits paid back duly till now","less than 100","less than 1 year",3,"female (divorced/separated/married)","none",4,"car or other",25,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","bad",18445
"No checking account","existing credits paid back duly till now","less than 100","more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",47,"bank","own",3,"skilled employee / official",2,"yes, registered under the customers name","Yes","good",18458
"No checking account","existing credits paid back duly till now","500 to 1000","4 to 7 years",4,"female (divorced/separated/married)","none",1,"car or other",28,"none","own",1,"skilled employee / official",1,"none","Yes","good",18471
"No checking account","delay in paying off in the past","less than 100","4 to 7 years",2,"male (single)","none",4,"car or other",21,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",18484
"No checking account","existing credits paid back duly till now","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",3,"car or other",34,"none","own",1,"skilled employee / official",2,"none","Yes","good",18497
"Negative","delay in paying off in the past","less than 100","4 to 7 years",3,"male (single)","none",2,"building society savings agreement/ life insurance",26,"bank","own",2,"skilled employee / official",2,"yes, registered under the customers name","Yes","bad",18510
"Negative","existing credits paid back duly till now","less than 100","Unemployed",4,"female (divorced/separated/married)","none",1,"real estate",27,"none","own",1,"unemployed / unskilled - non-resident",1,"none","Yes","bad",18523
"0 - 200","existing credits paid back duly till now","less than 100","more than 7 years",4,"male (single)","none",4,"car or other",38,"none","own",2,"unskilled - resident",1,"none","Yes","good",18536
"No checking account","existing credits paid back duly till now","100 to 500","1 to 4 years",3,"male (single)","none",2,"building society savings agreement/ life insurance",40,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",18549
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","4 to 7 years",4,"male (married/widowed)","guarantor",2,"car or other",33,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",18562
"Negative","critical account/ other credits existing (not at this bank)","less than 100","4 to 7 years",4,"male (married/widowed)","none",1,"building society savings agreement/ life insurance",32,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",18575
